iter	Passed	Remaining
0	0	89
1	1	81
2	2	75
3	2	69
4	3	68
5	4	67
6	4	66
7	5	65
8	6	64
9	7	63
10	7	63
11	8	62
12	9	62
13	10	62
14	11	62
15	11	62
16	12	63
17	13	63
18	14	62
19	15	61
20	16	61
21	17	61
22	18	61
23	19	61
24	20	61
25	21	60
26	22	60
27	23	60
28	24	60
29	25	60
30	27	60
31	28	59
32	28	58
33	29	57
34	30	56
35	31	55
36	32	55
37	33	54
38	33	53
39	34	52
40	35	51
41	36	49
42	36	49
43	37	48
44	38	47
45	39	46
46	40	45
47	41	45
48	42	44
49	43	43
50	44	42
51	45	42
52	46	41
53	47	40
54	48	39
55	49	38
56	50	37
57	50	36
58	51	35
59	52	34
60	53	34
61	54	33
62	54	32
63	55	31
64	56	30
65	57	29
66	58	28
67	59	27
68	59	26
69	60	26
70	61	25
71	62	24
72	63	23
73	64	22
74	65	21
75	65	20
76	66	19
77	67	19
78	68	18
79	69	17
80	70	16
81	71	15
82	72	14
83	73	14
84	74	13
85	75	12
86	76	11
87	76	10
88	77	9
89	78	8
90	79	7
91	80	6
92	81	6
93	82	5
94	83	4
95	84	3
96	85	2
97	86	1
98	87	0
99	87	0
